"教室名","収容人数","試験時定員","教室タイプ","建物","プロジェクター(中央)","プロジェクター(サイド)","タッチディスプレイ","スクリーン","天井モニター","モニター","TV","PC","BD","マイク","黒板(固定)","黒板(可動)","電子黒板","ホワイトボード","机椅子(固定)","机椅子(可動)","ブラインド","カーテン"
"3-201","342","171","講義室","3号館","×","○","×","○","○","×","×","×","○","○","×","○","×","×","○","×","○","×"
"3-202","198","96","講義室","3号館","×","○","×","○","×","×","×","×","○","○","×","○","×","×","○","×","○","×"
"3-203","70","35","講義室","3号館","×","○","×","○","×","×","×","×","○","○","×","×","○","×","○","○","×","×"
"3-204","70","35","講義室","3号館","×","○","×","○","×","×","×","×","○","○","×","×","○","×","○","○","×","×"
"3-205","96","64","講義室","3号館","×","○","×","○","×","×","×","×","○","○","×","×","○","×","○","○","×","×"
"3-206","96","64","講義室","3号館","×","○","×","○","×","×","×","×","○","○","×","×","○","×","○","○","×","×"
"3-302","72","","PC教室","3号館","×","○","×","○","×","×","×","○","○","○","×","×","○","○","○","×","○","×"
"3-303","60","","PC教室","3号館","×","○","×","○","×","×","×","○","○","○","×","×","○","○","○","×","○","×"
"3-305","28","","ゼミ室","3号館","○","×","×","×","×","×","×","×","×","×","×","×","○","○","○","×","○","×"
"3-306","28","","ゼミ室","3号館","○","×","×","×","×","×","×","×","×","×","×","×","○","○","○","×","○","×"
"3-307","28","","ゼミ室","3号館","○","×","×","×","×","×","×","×","×","×","×","×","○","○","○","×","○","×"
"3-308","24","","ゼミ室","3号館","×","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","○"
"3-309","18","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","○","○"
"3-310","18","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","×","×"
"3-405","22","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","×","×"
"3-406","24","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","×","×"
"3-407","24","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","×","×"
"3-408","22","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","×","×"
"3-409","10","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","×","×","×"
"3-410","10","","ゼミ室","3号館","×","×","×","×","×","○","×","×","○","×","×","×","×","○","×","○","○","○"
"3-412","20","","ゼミ室","3号館","×","×","○","×","×","×","×","×","○","×","×","×","×","○","×","○","○","○"
"7-107","558","311","講義室","7号館","○","×","×","○","×","×","×","×","○","○","×","○","×","×","○","×","○","×"
"7-201","260","139","講義室","7号館","×","○","×","○","×","×","×","×","○","○","×","○","×","×","○","×","○","×"
"7-202","90","60","講義室","7号館","×","○","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"7-203","90","60","講義室","7号館","×","○","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"7-204","51","34","講義室","7号館","○","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"7-205","51","34","講義室","7号館","○","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"7-301","260","139","講義室","7号館","×","○","×","○","×","×","×","×","○","○","×","○","×","×","○","×","○","×"
"7-302","90","60","講義室","7号館","×","○","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"7-303","90","60","講義室","7号館","×","○","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"7-304","51","34","講義室","7号館","○","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"7-305","54","36","講義室","7号館","○","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","○"
"7-401","259","139","講義室","7号館","×","○","×","○","×","×","×","×","○","○","×","○","×","×","○","×","○","○"
"7-402","90","60","講義室","7号館","×","○","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"7-403","90","60","講義室","7号館","×","○","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"7-404","51","34","講義室","7号館","○","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"7-405","54","34","講義室","7号館","○","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","○"
"7-602","18","","ゼミ室","7号館","×","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"7-603","18","","ゼミ室","7号館","×","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"7-616","16","","ゼミ室","7号館","×","×","×","×","×","×","×","×","×","×","×","×","×","○","×","○","○","×"
"8-101","114","62","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","×","×","○","○","×"
"8-102","60","40","講義室","8号館","○","×","×","○","×","×","×","×","×","×","○","×","×","×","×","○","○","×"
"8-103","119","65","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","×","×","×","○","×"
"8-105","18","","ゼミ室","8号館","×","×","×","×","×","×","×","×","×","×","○","×","×","×","×","○","○","×"
"8-106","18","","ゼミ室","8号館","×","×","×","×","×","×","×","×","×","×","○","×","×","×","×","○","○","×"
"8-107","18","","ゼミ室","8号館","×","×","×","×","×","×","×","×","×","×","○","×","×","×","×","○","○","×"
"8-201","88","56","講義室","8号館","○","×","×","○","×","×","×","×","×","×","○","×","×","○","×","○","○","×"
"8-202","198","126","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","○","×","×","○","○"
"8-203","143","91","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","○","×","×","○","○"
"8-204","47","27","講義室","8号館","×","×","×","×","×","○","×","×","×","×","○","×","×","×","○","×","○","○"
"8-205","47","27","講義室","8号館","×","×","×","×","×","○","×","×","×","×","○","×","×","×","○","×","×","×"
"8-206","47","27","講義室","8号館","×","×","×","×","×","○","×","×","×","×","○","×","×","×","×","○","○","○"
"8-207","47","27","講義室","8号館","×","×","×","×","×","○","×","×","×","×","○","×","×","×","×","○","○","○"
"8-301","140","88","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","○","×","×","○","○"
"8-302","140","88","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","○","×","×","○","○"
"8-303","141","89","講義室","8号館","○","×","×","○","×","×","×","×","○","○","○","×","×","○","×","×","○","×"
"8-304","18","","ゼミ室","8号館","×","×","×","×","×","×","×","×","×","×","○","×","×","×","×","○","○","×"
"8-305","18","","ゼミ室","8号館","×","×","×","×","×","×","×","×","×","×","○","×","×","×","×","○","○","×"
